Gender,Words Per Day
1,23871
1,5180
1,9951
1,12460
1,17155
1,10344
1,9811
1,12387
1,29920
1,21791
1,9789
1,31127
1,8572
1,6942
1,2539
1,36345
1,6858
1,24024
1,5488
1,9960
1,11118
1,4970
1,10710
1,15011
1,1569
1,23794
1,23689
1,11769
1,26846
1,17386
1,7987
1,25638
1,695
1,2366
1,16075
1,16789
1,9308
2,16109
2,10592
2,24608
2,13739
2,22376
2,9351
2,7694
2,16812
2,21066
2,32291
2,12320
2,19839
2,22018
2,16624
2,5139
2,17384
2,17740
2,7309
2,14699
2,21450
2,14602
2,18360
2,12345
2,17379
2,14394
2,11907
2,8319
2,16046
2,5112
2,8034
2,7845
2,7796
2,20910
2,8756
2,5683
2,8372
2,17191
2,8380
2,16741
2,16417
2,2363
2,24349
